"COMPbase","2013-03-25232841","pauligiraldo"
"(10S)-Juvenile hormone III diol phosphate","cpd:C16507","ko00981;ko01110"
"12-trans-Hydroxy juvenile hormone III","cpd:C16508","ko00981;ko01110"
"14alpha-Hydroxy-5beta-cholest-7-ene-3,6-dione; Diketol","cpd:C16509","ko00981;ko01110"
"C5a anaphylatoxin","cpd:C16510","ko04080"
"L-Homocysteic acid; (2S)-2-Amino-4-sulfobutanoic acid","cpd:C16511",""
"Palmitoylethanolamide; Palmidrol","cpd:C16512",""
"(7Z,10Z,13Z,16Z,19Z)-Docosa-7,10,13,16,19-pentaenoic acid; Docosapentaenoic acid","cpd:C16513","ko01040"
"Beta-amyloid protein 40","cpd:C16514",""
"Beta-amyloid protein 42","cpd:C16515",""
"Indolylmethylthiohydroximate","cpd:C16516","ko00380;ko00966;ko01110;ko01210"
"Indolylmethyl-desulfoglucosinolate","cpd:C16517","ko00380;ko00966;ko01110;ko01210"
"S-(Indolylmethylthiohydroximoyl)-L-cysteine","cpd:C16518","ko00380;ko00966;ko01110;ko01210"
"2-Succinyl-5-enolpyruvyl-6-hydroxy-3-cyclohexene-1-carboxylate; 5-Enolpyruvoyl-6-hydroxy-2-succinylcyclohex-3-ene-1-carboxylate","cpd:C16519","ko00130;ko01100;ko01110"
"Hexadecenoyl-[acyl-carrier protein]","cpd:C16520","ko00061"
"Isoprene; 2-Methyl-1,3-butadiene","cpd:C16521","ko00900;map01062;ko01110"
"Icosatrienoic acid; Eicosatrienoic acid; ETA; 11,14,17-Icosatrienoic acid; (11Z,14Z,17Z)-Icosa-11,14,17-trienoic acid; 11,14,17-Eicosatrienoic acid; (11Z,14Z,17Z)-Eicosa-11,14,17-trienoic acid","cpd:C16522","ko01040"
"3'-N-Debenzoyl-2'-deoxytaxol; beta-Phenylalanoyl baccatin III; 13-O-beta-Phenylalanoylbaccatin III","cpd:C16523","ko00904;ko01110"
"3'-N-Debenzoyltaxol; 13-O-3-Phenylisoserinoyl baccatin III","cpd:C16524","ko00904;ko01100;ko01110"
"Icosadienoic acid; Eicosadienoic acid; 11,14-Icosadienoic acid; (11Z,14Z)-Icosa-11,14-dienoic acid; 11,14-Eicosadienoic acid; (11Z,14Z)-Eicosa-11,14-dienoic acid","cpd:C16525","ko01040"
"Icosenoic acid; Eicosenoic acid; 11-Icosenoic acid; 11-Eicosenoic acid; (11Z)-Icosenoic acid; (11Z)-Eicosenoic acid; (Z)-Icosa-11-enoic acid","cpd:C16526","ko01040"
"7,10,13,16-Docosatetraenoic acid; (7Z,10Z,13Z,16Z)-Docosa-7,10,13,16-tetraenoic acid; Adrenic acid","cpd:C16527","ko01040"
"Docosanoyl-CoA; Behenoyl-CoA","cpd:C16528","ko01040"
"Tetracosanoyl-CoA; Lignoceroyl-CoA","cpd:C16529","ko01040"
"Icosenoyl-CoA; Eicosenoyl-CoA; (11Z)-Icosenoyl-CoA; (11Z)-Eicosenoyl-CoA","cpd:C16530","ko01040"
"Docosenoyl-CoA; (13Z)-Docosenoyl-CoA","cpd:C16531","ko01040"
"Tetracosenoyl-CoA; Nervonoyl-CoA; (15Z)-Tetracosenoyl-CoA","cpd:C16532","ko01040"
"13,16-Docosadienoic acid; (13Z,16Z)-Docosa-13,16-dienoic acid","cpd:C16533","ko01040"
"13,16,19-Docosatrienoic acid; (13E,16E,19E)-Docosa-13,16,19-trienoic acid","cpd:C16534",""
"Nonadecanoic acid; Nonadecylic acid","cpd:C16535",""
"9E-Heptadecenoic acid; (E)-Heptadec-9-enoic acid","cpd:C16536",""
"Pentadecanoic acid; Pentadecylic acid; n-Pentadecanoic acid","cpd:C16537",""
"1,5-Anhydro-D-mannitol","cpd:C16538",""
"7(1)-Hydroxychlorophyllide a","cpd:C16540","ko00860;ko01100;ko01110"
"Chlorophyllide b","cpd:C16541","ko00860;ko01100;ko01110"
"APC","cpd:C16542","ko00983"
"NPC","cpd:C16543","ko00983"
"alpha-Hydroxytamoxifen","cpd:C16544","ko00982"
"Tamoxifen N-oxide","cpd:C16545","ko00982"
"N-Desmethyltamoxifen","cpd:C16546","ko00982"
"Endoxifen; 4-Hydroxy-N-desmethyltamoxifen","cpd:C16547","ko00982"
"N,N-Didesmethyltamoxifen","cpd:C16548","ko00982"
"alpha-Hydroxy-N-desmethyltamoxifen","cpd:C16549","ko00982"
"Dechloroethylcyclophosphamide; 3-Dechloroethylifosfamide","cpd:C16550","ko00982"
"Alcophosphamide","cpd:C16551","ko00982"
"Nornitrogen mustard","cpd:C16552","ko00982"
"4-Hydroxyifosfamide","cpd:C16553","ko00982"
"4-Ketoifosfamide","cpd:C16554","ko00982"
"2-Dechloroethylifosfamide","cpd:C16555","ko00982"
"Aldoifosfamide","cpd:C16556","ko00982"
"Carboxyifosfamide","cpd:C16557","ko00982"
"Alcoifosfamide","cpd:C16558","ko00982"
"Isophosphamide mustard","cpd:C16559","ko00982"
"3-Hydroxylidocaine","cpd:C16560","ko00982"
"Monoethylglycinexylidide","cpd:C16561","ko00982"
"Glutathionylspermine","cpd:C16562","ko00480"
"Bis(glutathionyl)spermine; N1,N12-Bis(glutathionyl)spermine","cpd:C16563","ko00480"
"Bis(glutathionyl)spermine disulfide","cpd:C16564","ko00480"
"Aminopropylcadaverine","cpd:C16565","ko00480"
"Glutathionylaminopropylcadaverine","cpd:C16566","ko00480"
"Homotrypanothione; N1,N9-Bis(glutathionyl)aminopropylcadaverine","cpd:C16567","ko00480"
"Homotrypanothione disulfide","cpd:C16568","ko00480"
"Glycinexylidide; GX","cpd:C16569","ko00982"
"4-Hydroxy-2,6-dimethylaniline; 3,5-Dimethyl-4-aminophenol","cpd:C16570","ko00982"
"2-Amino-3-methylbenzoate","cpd:C16571","ko00982"
"3-Hydroxymonoethylglycinexylidide","cpd:C16572","ko00982"
"3'-Hydroxyropivacaine","cpd:C16573",""
"4'-Hydroxyropivacaine","cpd:C16574",""
"(S)-2',6'-Pipecoloxylidide","cpd:C16575",""
"Norcodeine; N-Desmethylcodeine","cpd:C16576","ko00982"
"Codeine-6-glucuronide","cpd:C16577","ko00982"
"Morphine-6-glucuronide","cpd:C16578","ko00982;ko04976"
"trans-Homoaconitate; (E)-1,2,4-But-1-enetricarboxylic acid","cpd:C16579",""
"D-threo-Aldono-1,5-lactone; (2S,3R)-Aldono-1,5-lactone","cpd:C16581",""
"2-Hydroxyfelbamate","cpd:C16582","ko00982"
"(R)-(Homo)2-citrate","cpd:C16583",""
"p-Hydroxyfelbamate","cpd:C16584","ko00982"
"2-Phenyl-1,3-propanediol monocarbamate","cpd:C16586","ko00982"
"3-Carbamoyl-2-phenylpropionaldehyde","cpd:C16587","ko00982"
"2-Oxopimelate; alpha-Ketopimelate; 2-Oxoheptanedionic acid","cpd:C16588",""
"2-Oxosuberate; 2-Oxooctanedionic acid; alpha-Ketosuberate","cpd:C16589",""
"7-Oxoheptanoic acid; 7-Ketoheptanoic acid","cpd:C16590",""
"3-Carbamoyl-2-phenylpropionic acid","cpd:C16591","ko00982"
"Atropaldehyde; 2-Phenylpropenal","cpd:C16592","ko00982"
"7-Mercaptoheptanoic acid","cpd:C16593",""
"7-Mercaptoheptanoylthreonine","cpd:C16594",""
"4-Hydroxy-5-phenyltetrahydro-1,3-oxazin-2-one","cpd:C16595","ko00982"
"5-Phenyl-1,3-oxazinane-2,4-dione","cpd:C16596","ko00982"
"1-Hydroxypentane-1,2,5-tricarboxylate","cpd:C16597",""
"(R)-(Homo)3-citrate","cpd:C16598",""
"1-Hydroxyhexane-1,2,6-tricarboxylate","cpd:C16600",""
"2-Hydroxycarbamazepine","cpd:C16601","ko00982"
"3-Hydroxycarbamazepine","cpd:C16602","ko00982"
"2,3-Dihydroxycarbamazepine","cpd:C16603","ko00982"
"2-Hydroxyiminostilbene","cpd:C16604","ko00982"
"2H-Dibenz[b,f]azepin-2-one","cpd:C16605","ko00982"
"Carbamazepine-o-quinone","cpd:C16606","ko00982"
"Citalopram N-oxide","cpd:C16607","ko00982"
"Demethylcitalopram","cpd:C16608","ko00982"
"Didemethylcitalopram","cpd:C16609","ko00982"
"Citalopram propionic acid","cpd:C16610","ko00982"
"Citalopram alcohol","cpd:C16611",""
"Citalopram aldehyde","cpd:C16612","ko00982"
"6-Thiourate; 6-Thiouric acid","cpd:C16613","ko00983"
"6-Methylmercaptopurine; Thiopurine S-methylether","cpd:C16614","ko00983"
"6-Methylthiopurine 5'-monophosphate ribonucleotide; 6-Methylthioinosine-5'-monophosphate","cpd:C16615","ko00983"
"6-Mercaptopurine ribonucleoside 5'-diphosphate; 6-Thioinosine-5'-diphosphate","cpd:C16616","ko00983"
"6-Mercaptopurine ribonucleoside triphosphate; 6-Thioinosine-5'-triphosphate","cpd:C16617","ko00983"
"6-Thioxanthine 5'-monophosphate","cpd:C16618","ko00983"
"6-Thioguanosine monophosphate","cpd:C16619","ko00983"
"6-Methylthioguanosine monophosphate","cpd:C16620","ko00983"
"1-Methyl-4-nitroimidazole","cpd:C16621","ko00983"
"N,N'-Diacetylhydrazine; Diacetylhydrazine","cpd:C16622","ko00983"
"Isonicotinylglycine; Isonicotinuric acid","cpd:C16623","ko00983"
"Isoniazid pyruvate","cpd:C16624","ko00983"
"Isoniazid alpha-ketoglutaric acid","cpd:C16625","ko00983"
"Albendazole sulfone","cpd:C16626",""
"Albendazole-2-aminosulfone","cpd:C16627",""
"Albendazole-beta-hydroxysulphone","cpd:C16628",""
"Albendazole-gamma-hydroxysulphone","cpd:C16629",""
"5,6-Dihydro-5-fluorouracil; 5-Fluorodihydrouracil","cpd:C16630","ko00983"
"alpha-Fluoro-beta-ureidopropionic acid; 2-Fluoro-3-ureidopropionic acid","cpd:C16631","ko00983"
"alpha-Fluoro-beta-alanine; 3-Amino-2-fluoropropionic acid","cpd:C16632","ko00983"
"5-Fluorouridine","cpd:C16633","ko00983"
"5-Fluorouridine monophosphate","cpd:C16634","ko00983"
"5'-Deoxy-5-fluorocytidine","cpd:C16635","ko00983"
"tRNA(Sec)","cpd:C16636",""
"5-Deoxyribose-1-phosphate; 5-Deoxy-alpha-D-ribose-1-phosphate","cpd:C16637",""
"O-Phosphoseryl-tRNA(Sec)","cpd:C16638","ko00450;ko00970"
"beta-D-Ribofuranose","cpd:C16639",""
"CAI-1; Cholerae autoinducer-1","cpd:C16640","ko02020;ko05111"
"Irinotecan","cpd:C16641","ko00983"
"Morphine-3-glucuronide","cpd:C16643","ko00982;ko04976"
"1-(3,4-Dimethoxyphenyl)ethane-1,2-diol","cpd:C16644",""
"(13Z,16Z)-Docosadi-13,16-enoyl-CoA","cpd:C16645","ko01040"
"N,N-Diethylglycine","cpd:C16647",""
"2-n-Propyl-4-pentenoic acid; 4-En-valproic acid; 4-Ene-VPA","cpd:C16648","ko00982"
"4-Hydroxyvalproic acid; 2-n-Propyl-4-hydroxypentanoic acid; 4-OH-VPA","cpd:C16649","ko00982"
"5-Hydroxyvalproic acid; 2-n-Propyl-5-hydroxypentanoic acid; 5-OH-VPA","cpd:C16650","ko00982"
"3-Hydroxyvalproic acid; 2-n-Propyl-3-hydroxypentanoic acid; 3-OH-VPA","cpd:C16651","ko00982"
"3-Oxovalproic acid; 2-n-Propyl-3-oxopentanoic acid; 3-Keto-VPA","cpd:C16652","ko00982"
"2-n-Propyl-2-pentenoic acid; 2-En-valproic acid; 2-Ene-VPA","cpd:C16653","ko00982"
"2-n-Propyl-3-pentenoic acid; 3-En-valproic acid; 3-Ene-VPA","cpd:C16654","ko00982"
"2-n-Propyl-4-oxopentanoic acid; 4-Oxovalproic acid; 4-Keto-VPA","cpd:C16655","ko00982"
"2-Propyl-2,4-pentadienoic acid; 2,4-Diene-VPA","cpd:C16656","ko00982"
"2-Propylsuccinic acid; 2-PSA","cpd:C16657","ko00982"
"2-Propylglutaric acid; 2-PGA","cpd:C16658","ko00982"
"2-Ethylidene-1,5-dimethyl-3,3-diphenylpyrrolidine; EDDP","cpd:C16659","ko00982"
"2-Ethyl-5-methyl-3,3-diphenyl-1-pyrroline; EMDP","cpd:C16660","ko00982"
"L-alpha-Acetyl-N-normethadol; nor-LAAM","cpd:C16661","ko00982"
"L-alpha-Acetyl-N,N-dinormethadol; dinor-LAAM","cpd:C16662","ko00982"
"Tryparedoxin","cpd:C16663","ko00480"
"Tryparedoxin disulfide","cpd:C16664","ko00480"
"12-Methyltetradecanoic acid","cpd:C16665","ko02020"
"Vanillylamine","cpd:C16666","ko00360;map01063;ko01100;ko01110"
"1,2-Dimyristyl-sn-glycerol; 1,2-Ditetradecanoyl-sn-glycerol","cpd:C16667",""
"Polynucleotide 5'-diphosphate","cpd:C16669",""
"3,6-Dihydronicotinic acid","cpd:C16671","ko00960;ko01110"
"Benzylpenicilloic acid","cpd:C16672",""
"Isoglutamine; 4,5-Diamino-5-oxopentanoic acid; DL-Isoglutamine","cpd:C16673","ko00340"
"Formylisoglutamine; DL-Formylisoglutamine","cpd:C16674","ko00340"
"7-Aminomethyl-7-carbaguanine; 7-Aminomethyl-7-deazaguanine","cpd:C16675",""
"N6-Alkylaminopurine-9-beta-D-glucoside","cpd:C16676",""
"all-trans-4-Hydroxyretinoic acid","cpd:C16677","ko00830"
"all-trans-4-Oxoretinoic acid","cpd:C16678","ko00830"
"all-trans-18-Hydroxyretinoic acid","cpd:C16679","ko00830"
"all-trans-5,6-Epoxyretinoic acid; all-trans-5,6-Epoxy-5,6-dihydroretinoic acid","cpd:C16680","ko00830"
"9-cis-Retinal","cpd:C16681","ko00830"
"9-cis-Retinol","cpd:C16682","ko00830"
"4-Oxoretinol","cpd:C16683","ko00830"
"N-Acetoxyarylamine","cpd:C16684",""
"N-Hydroxyarylamine","cpd:C16685",""
"Phosphomannan mannosephosphate","cpd:C16687",""
"Sucrose 6-phosphate; 6-Phosphosucrose; 6-O-Phosphonosucrose; beta-D-Fructofuranosyl-6-O-phosphono-alpha-D-glucopyranoside","cpd:C16688","ko00500;ko02060"
"poly-cis-Polyprenyl diphosphate longer by one C5 unit","cpd:C16689",""
"5-L-Glutamyl-D-glutamyl-peptide; gamma-L-Glutamyl-D-glutamyl-peptide","cpd:C16690",""
"DNA 2,6-diamino-5-formamido-3,4-dihydro-4-oxopyrimidine","cpd:C16691",""
"Mannopine","cpd:C16692","ko02010"
"Plastoquinol","cpd:C16693",""
"Plastoquinone-1","cpd:C16694",""
"Plastoquinol-9; Plastoquinol A","cpd:C16695",""
"Dolichotheline","cpd:C16696","map01065;ko01110"
"1-Indolizidinone; 1-Ketooctahydroindolizine","cpd:C16697","ko00960;map01064;ko01110"
"N-Acetylmuramic acid 6-phosphate; N-Acetylmuramate 6-phosphate; MurNAc 6-phosphate","cpd:C16698","ko00520;ko02060"
"2-O-(6-Phospho-alpha-mannosyl)-D-glycerate; 2-O-(6-Phospho-alpha-D-mannosyl)-D-glycerate","cpd:C16699","ko02060"
"3,4-Dihydroxybenzaldehyde; Protocatechualdehyde","cpd:C16700","ko00950;map01063"
"Norbelladine","cpd:C16701","ko00950;map01063;ko01110"
"4'-O-Methylnorbelladine","cpd:C16702","ko00950;map01063;ko01110"
"N-Demethylnarwedine","cpd:C16703","ko00950;map01063;ko01110"
"Anhalonidine","cpd:C16704","map01063"
"Anhalonine; O-Methylanhalonidine","cpd:C16705","map01063"
"4-Hydroxydihydrocinnamaldehyde; 3-(p-Hydroxyphenyl)propanal","cpd:C16706","ko00950;map01063"
"(S)-Autumnaline; Autumnaline","cpd:C16707","ko00950;map01063;ko01110"
"Isoandrocymbine","cpd:C16708","ko00950;map01063;ko01110"
"O-Methylandrocymbine","cpd:C16709","ko00950;map01063;ko01110"
"N-Formyldemecolcine","cpd:C16710","ko00950;map01063;ko01110"
"Vitamin K epoxide","cpd:C16711",""
"Deacetylcolchicine; Trimethylcolchicinic acid methyl ether","cpd:C16712","ko00950;map01063;ko01110"
"Floramultine","cpd:C16713","ko00950;map01063"
"Kreysigine","cpd:C16714","ko00950;map01063"
"2-Oxo-1,2-dihydroquinoline-4-carboxylate","cpd:C16715",""
"4-Hydroxy-2-quinolone","cpd:C16716","map01063"
"Limonoate D-ring-lactone","cpd:C16717",""
"Limonoate A-ring-lactone","cpd:C16718",""
"(-)-Norephedrine; l-Phenylpropanolamine","cpd:C16719","ko00360;map01063;ko01100"
"Peptide 2-[3-carboxy-3-(dimethylammonio)propyl]-L-histidine; 2-[3-Carboxy-3-(dimethylammonio)propyl]-L-histidine; EF-2 2-[3-carboxy-3-(dimethylammonio)propyl]-L-histidine; Elongation factor 2 2-[3-carboxy-3-(dimethylammonio)propyl]-L-histidine","cpd:C16720",""
"Platydesmine","cpd:C16721","map01063"
"Acceptor","cpd:C16722",""
"Pumiloside","cpd:C16723","map01063"
"Strictosamide","cpd:C16724","map01060;map01063"
"Deoxypumiloside","cpd:C16725","map01063"
"Cinchoninone; Cinchonan-9-one","cpd:C16726","map01063"
"Cinchonamine","cpd:C16727","map01063"
"Quinidinone","cpd:C16728","map01063"
"Thyroglobulin L-thyroxine; Thyroglobulin 3,5,3'5'-tetraiodo-L-thyronine","cpd:C16729",""
"Thyroglobulin triiodothyronine; Thyroglobulin L-3,5,3'-triiodothyronine","cpd:C16730",""
"Thyroglobulin 3,5-diiodotyrosine","cpd:C16731",""
"Thyroglobulin 3-iodotyrosine","cpd:C16732",""
"Thyroglobulin L-tyrosine","cpd:C16733",""
"Thyroglobulin dehydroalanine; Thyroglobulin aminoacrylate","cpd:C16734",""
"Corynantheal","cpd:C16735","map01063"
"Thiol-containing reductant; R'-SH","cpd:C16736",""
"5-Deoxy glucuronic acid","cpd:C16737","ko00562;ko01100;ko01120"
"Sulfuric monoester; Ester sulfate","cpd:C16738",""
"L-Arginyl-protein","cpd:C16739",""
"Procollagen L-lysine","cpd:C16740",""
"L-Hydroxylysine; 5-Hydroxy-L-lysine; L-erythro-5-Hydroxylysine; (5R)-5-Hydroxy-L-lysine","cpd:C16741",""
"allo-Hydroxy-L-lysine; Allohydroxy-L-lysine","cpd:C16742",""
"Phosphoallohydroxy-L-lysine","cpd:C16743",""
"Spongothymidine","cpd:C16744",""
"Spongouridine","cpd:C16745",""
"Discodermolide","cpd:C16746",""
"Spergualin","cpd:C16747",""
"Patulin","cpd:C16748",""
"Acetylgitaloxin; alpha-Acetylgitaloxin","cpd:C16749",""
"Acetylintermedine","cpd:C16750",""
"Acetyllycopsamine","cpd:C16751",""
"Acevaltrate","cpd:C16752",""
"Aflatoxin B2","cpd:C16753",""
"Aflatoxin G2","cpd:C16754",""
"Aflatoxin G1","cpd:C16755",""
"Aflatoxin M1","cpd:C16756","ko00980"
"(Z)-Ajoene","cpd:C16757",""
"(E)-Ajoene","cpd:C16758",""
"S-Allyl-L-cysteine","cpd:C16759",""
"Aloe emodin anthrone","cpd:C16760",""
"Neosurugatoxin","cpd:C16761",""
"Ciguatoxin I; CTX","cpd:C16762",""
"Luteoskyrin","cpd:C16763",""
"Rugulosin","cpd:C16764",""
"Citrinin","cpd:C16765",""
"Citreoviridin","cpd:C16766",""
"Rubratoxin B","cpd:C16767",""
"Sporidesmin J","cpd:C16768",""
"Aplysiatoxin","cpd:C16769",""
"19-Bromoaplysiatoxin","cpd:C16770",""
"Oscillatoxin A","cpd:C16771",""
"DL-alpha-Terpineol","cpd:C16772",""
"Bisabolol oxide A","cpd:C16773",""
"Bisabolol oxide B","cpd:C16774",""
"beta-Bisabolene","cpd:C16775",""
"beta-Sesquiphellandrene; (-)-beta-Sesquiphellandrene","cpd:C16776",""
"Sabinene; Sabinen","cpd:C16777",""
"Cantharidin","cpd:C16778",""
"Dendrolasin","cpd:C16779",""
"Jasmolin I","cpd:C16780",""
"Jasmolin II","cpd:C16781",""
"(-)-Solenopsin A","cpd:C16782",""
"Meliantriol","cpd:C16783",""
"HMT-toxin","cpd:C16784",""
"PM-toxin B","cpd:C16785",""
"AM-toxin I","cpd:C16786",""
"AK-toxin I","cpd:C16787",""
"Pyriculol","cpd:C16788",""
"Toxoflavine","cpd:C16789",""
"Coronatine","cpd:C16790","ko04626"
"Halichondrin B","cpd:C16791",""
"Panaxytriol","cpd:C16792",""
"Corynomycolic acid","cpd:C16793",""
"Tuberculostearic acid","cpd:C16794",""
"Hydnocarpic acid","cpd:C16795",""
"Islandicin; Funiculosin","cpd:C16796",""
"Sennoside C; Sennidin C","cpd:C16797",""
"Sennoside D; Sennidin D","cpd:C16798",""
"Cascaroside B","cpd:C16799",""
"Cascaroside D","cpd:C16800",""
"Cascaroside C","cpd:C16801",""
"Glucofrangulin A","cpd:C16802",""
"Glucofrangulin B","cpd:C16803",""
"Penicillic acid","cpd:C16804",""
"Coumachlor","cpd:C16805",""
"Coumatetralyl","cpd:C16806",""
"Difenacoum","cpd:C16807",""
"Isosilybin","cpd:C16808",""
"Isovaltrate","cpd:C16809",""
"Bioresmethrin","cpd:C16810",""
"Baldrinal","cpd:C16811",""
"Homobaldrinal","cpd:C16812",""
"Valeranone","cpd:C16813",""
"gamma-Bisabolene; (Z)-gamma-Bisabolene","cpd:C16814","ko00909"
"alpha-Cadinene","cpd:C16815",""
"Ginkgolide M","cpd:C16816",""
"Goitrin","cpd:C16817",""
"Ophiobolin F; Ophiobolene","cpd:C16818",""
"Neotigogenin","cpd:C16819",""
"k-Strophanthin-beta","cpd:C16820",""
"Guvacoline","cpd:C16821",""
"9-Aminocamptothecin","cpd:C16822",""
"Distigmine","cpd:C16823",""
"Neomenthyl acetate","cpd:C16825",""
"2-cis,6-trans-Farnesyl diphosphate; (2Z,6E)-Farnesyl diphosphate","cpd:C16826","ko00900"
"p-Coumaroyl-D-glucose; 1-O-(4-Coumaroyl)-beta-D-glucose","cpd:C16827",""
"Caffeoquinone; Caffeic acid quinone","cpd:C16828",""
"gamma-Humulene","cpd:C16829","ko00909;ko01100;ko01110"
"D-Aldonolactone","cpd:C16830",""
"L-2-Methyltryptophan; 2-Methyl-L-tryptophan","cpd:C16831",""
"Protein N6-(dihydrolipoyl)lysine","cpd:C16832",""
"beta-Phenylalanoyl-CoA; (R)-beta-Phenylalanoyl-CoA; (R)-3-Amino-3-phenylpropanoyl-CoA; Amino phenylpropanoyl-CoA","cpd:C16833",""
"1-Pentanol","cpd:C16834",""
"Succinic aldehyde; Succindialdehyde","cpd:C16835",""
"1,4'-Bipiperidine-1'-carboxylic acid; [1,4'-Bipiperidine]-1'-carboxylic acid","cpd:C16836",""
"4-Amino-1-piperidinecarboxylic acid","cpd:C16837",""
"Alternariol","cpd:C16838",""
"Brevetoxin A","cpd:C16839",""
"Eudistomin G","cpd:C16840",""
"Squalamine","cpd:C16841",""
"SQ 26180","cpd:C16842",""
"Deoxynojirimycin; Moranolin","cpd:C16843",""
"Hydroxyl radical; Hydrogen oxide","cpd:C16844","ko04626;ko05014;ko05204"
"Peroxynitrite","cpd:C16845","ko05010;ko05014"
"Cinchonidinone; (8alpha)-Cinchonan-9-one","cpd:C16846",""
"Didemnin B","cpd:C16847",""
"6-Deoxy-5-ketofructose 1-phosphate; 1-Deoxy-D-threo-hexo-2,5-diulose 6-phosphate","cpd:C16848","ko00400;ko01110"
"Hydroxypyruvaldehyde phosphate; 2,3-Dioxopropyl phosphate","cpd:C16849",""
"2-Amino-3,7-dideoxy-D-threo-hept-6-ulosonic acid","cpd:C16850","ko00400;ko01110"
"Palytoxin","cpd:C16851",""
"Gambiertoxin 4b; Ciguatoxin 4B; CTX-4B","cpd:C16852",""
"Maitotoxin","cpd:C16854",""
"Gonyautoxin 1","cpd:C16855",""
"Gonyautoxin 2","cpd:C16856",""
"Brevetoxin B","cpd:C16857",""
"Pachydictyol A","cpd:C16858",""
"Renillafoulin A","cpd:C16859",""
"2,5,6-Tribromo-1-methylgramine","cpd:C16860",""
"13-Deoxytedanolide","cpd:C16861",""
"Plitidepsin; Dehydrodidemnin B; Aplidine; Didemnin A","cpd:C16862",""
"Scytophycin C","cpd:C16865",""
"Tauroursodeoxycholic acid","cpd:C16868",""
"Dinophysistoxin 1; DTX 1","cpd:C16870",""
"Pectenotoxin 1; PTX 1","cpd:C16871",""
"Yessotoxin","cpd:C16872",""
"Bombykol","cpd:C16873",""
"Makisterone A","cpd:C16874",""
"Trabectedin; Ecteinascidin 743","cpd:C16875",""
"Kahalalide F","cpd:C16876",""
"Cryptophycin 1; Cryptophycin","cpd:C16877",""
"Aplyronine A","cpd:C16878",""
"S 1319","cpd:C16880",""
"Isohomohalichondrin B; IHB","cpd:C16881",""
"Jasplakinolide; Jaspamide","cpd:C16883",""
"D-Threitol","cpd:C16884",""
"Gambieric acid A","cpd:C16885",""
"Gambieric acid B","cpd:C16886",""
"Gambieric acid C","cpd:C16887",""
"Gambieric acid D","cpd:C16888",""
"Pahutoxin","cpd:C16889",""
"5alpha-Cyprinol","cpd:C16890",""
"Callystatin A","cpd:C16891",""
"KRN 7000","cpd:C16892",""
"Stellettamide A","cpd:C16893",""
"Plakinamine A","cpd:C16894",""
"Plakinamine B","cpd:C16895",""
"Nakitriol","cpd:C16896",""
"Goniodomin A","cpd:C16899",""
"Latrunculin A","cpd:C16901",""
"Mycalolide B","cpd:C16902",""
"Perazine","cpd:C16903",""
"Tolytoxin","cpd:C16904",""
"Dolastatin 11","cpd:C16905",""
"Anabaseine","cpd:C16906",""
"Azaspiracid","cpd:C16907",""
"Caryophyllene epoxide; Caryophyllene oxide","cpd:C16908",""
"1,4-Cineole; 1,4-Epoxy-p-menthane","cpd:C16909",""
"Acutumine","cpd:C16910",""
"Afzelin; Kaempferin; Kaempferol 3-O-alpha-L-rhamnoside","cpd:C16911","ko00944"
"Alphitolic acid; 2alpha-Hydroxybetulinic acid","cpd:C16912",""
"Anemonin; Pulsatilla camphor","cpd:C16913",""
"Isobyakangelicol; Anhydrobyakangelicin","cpd:C16914",""
"Arctiin","cpd:C16915",""
"Arundoin","cpd:C16916",""
"Atractylodin","cpd:C16918",""
"Atractylone; Atractylol; Atractyloxide","cpd:C16919",""
"Bornyl isovalerate; Bornyval; Hysterol","cpd:C16920",""
"Bufadienolide","cpd:C16921",""
"Bufalin","cpd:C16922",""
"Bufotalin; 3beta,14,16beta-Trihydroxy-5beta-bufa-20,22-dienolide 16-acetate","cpd:C16923",""
"Butylidenephthalide","cpd:C16924",""
"Byakangelicol","cpd:C16925",""
"Capillarin","cpd:C16926",""
"Capillene","cpd:C16927",""
"Capillone; 1-Phenyl-2,4-hexadiene-1-one","cpd:C16928",""
"Catalpalactone","cpd:C16929",""
"Chavicol","cpd:C16930",""
"Cinobufagin","cpd:C16931",""
"Cinobufotalin","cpd:C16932",""
"3,6-Dihydropyridine","cpd:C16933","ko00960;ko01110"
"Cnidilide","cpd:C16937",""
"Coptisine","cpd:C16938",""
"Crataegolic acid; Masilinic acid","cpd:C16939",""
"Carthamidin","cpd:C16940",""
"Carthamin","cpd:C16941",""
"Curcumenol","cpd:C16942",""
"Curzerenone","cpd:C16943",""
"Cyperol","cpd:C16945",""
"Cyperolone","cpd:C16946",""
"Decanoyl acetaldehyde","cpd:C16947",""
"Dehydrocurdione","cpd:C16949",""
"Dehydroeburicoic acid; Dehydrotrametenolic acid","cpd:C16950",""
"Deoxyschizandrin","cpd:C16951",""
"Dihydrocapsaicin","cpd:C16952",""
"Dihydrocorynantheine; 18,19-Dihydrocorynantheine","cpd:C16953",""
"Disinomenine; Bisinomenine","cpd:C16954",""
"Eucarvone","cpd:C16955",""
"Evocarpine","cpd:C16956",""
"Fargesin","cpd:C16957",""
"Fernenol","cpd:C16958",""
"Furanodiene","cpd:C16959",""
"Furanodienone","cpd:C16960",""
"Gamabufogenin; Gamabufotalin","cpd:C16962",""
"Gardoside","cpd:C16963",""
"Gastrodin; 4-(Hydroxymethyl)phenyl-beta-D-glucopyranoside","cpd:C16964",""
